Date,Stock,Volatility
2016-12-05,AXISBANK.NS,1.7624863795286945
2016-12-06,AXISBANK.NS,1.7031630360309273
2016-12-07,AXISBANK.NS,1.6766520690433926
2016-12-08,AXISBANK.NS,1.7133091855000349
2016-12-09,AXISBANK.NS,1.660736802578686
2016-12-12,AXISBANK.NS,1.6546894145036155
2016-12-13,AXISBANK.NS,1.7452342034894452
2016-12-14,AXISBANK.NS,1.7431385221155578
2016-12-15,AXISBANK.NS,1.8680711044876452
2016-12-16,AXISBANK.NS,1.895222411939596
2016-12-19,AXISBANK.NS,1.8551209721774011
2016-12-20,AXISBANK.NS,1.8180348970072493
2016-12-21,AXISBANK.NS,1.7930522101579012
2016-12-22,AXISBANK.NS,1.7506078600302466
2016-12-23,AXISBANK.NS,1.8023344097763225
2016-12-26,AXISBANK.NS,1.838146727925964
2016-12-27,AXISBANK.NS,1.818098264878498
2016-12-28,AXISBANK.NS,1.7831125202754403
2016-12-29,AXISBANK.NS,1.7260607007196331
2016-12-30,AXISBANK.NS,1.684189863816259
2017-01-02,AXISBANK.NS,1.6598947667345285
2017-01-03,AXISBANK.NS,1.6159175155645895
2017-01-04,AXISBANK.NS,1.6219996542101034
2017-01-05,AXISBANK.NS,1.580632124110614
2017-01-06,AXISBANK.NS,1.5571149232891925
2017-01-09,AXISBANK.NS,1.5256208204416073
2017-01-10,AXISBANK.NS,1.4941147184107422
2017-01-11,AXISBANK.NS,1.4957551825903947
2017-01-12,AXISBANK.NS,1.4965818324155098
2017-01-13,AXISBANK.NS,1.458945020149746
2017-01-16,AXISBANK.NS,1.7391372818234483
2017-01-17,AXISBANK.NS,1.6960196908336524
2017-01-18,AXISBANK.NS,1.7237560222077393
2017-01-19,AXISBANK.NS,1.6677451369418623
2017-01-20,AXISBANK.NS,1.6402373821610943
2017-01-23,AXISBANK.NS,2.4362356633165168
2017-01-24,AXISBANK.NS,2.360060158076604
2017-01-25,AXISBANK.NS,2.2861088217796066
2017-01-27,AXISBANK.NS,2.2988320511512836
2017-01-30,AXISBANK.NS,2.2598409099262255
2017-01-31,AXISBANK.NS,2.1677702889609836
2017-02-01,AXISBANK.NS,2.1113491660103256
2017-02-02,AXISBANK.NS,2.093771827800183
2017-02-03,AXISBANK.NS,2.042682403396081
2017-02-06,AXISBANK.NS,2.008127887284457
2017-02-07,AXISBANK.NS,1.9690641086010814
2017-02-08,AXISBANK.NS,1.917086973016602
2017-02-09,AXISBANK.NS,1.877917150458762
2017-02-10,AXISBANK.NS,1.8170076055776694
2017-02-13,AXISBANK.NS,1.7620317357175543
2017-02-14,AXISBANK.NS,1.7033360227480974
2017-02-15,AXISBANK.NS,1.662012064462239
2017-02-16,AXISBANK.NS,1.6106270976869348
2017-02-17,AXISBANK.NS,1.5810871824277255
2017-02-20,AXISBANK.NS,1.5550782122027107
