Date,Year,Stock,open,high,low,close,Return,Inflation_%,GDP_Growth_%,NIFTY_Return_%,NIFTY_Volatility_%,USD_INR,Company,SECTOR,PE_Ratio,Revenue_Growth_%,EBITDA_Margin_%,Debt_Equity_Ratio,ROCE_%
2024-02-02,2024,ONGC.NS,221.969738,230.8485275,221.081859,228.4068604,0.03876444751,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-05,2024,ONGC.NS,230.8928878,237.9959187,226.4979037,233.4677582,0.022157381,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-06,2024,ONGC.NS,235.5986672,242.7460814,231.0260964,241.7694092,0.03555801908,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-07,2024,ONGC.NS,244.1667062,244.7438221,237.5519974,241.4142761,-0.00146889161,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-08,2024,ONGC.NS,242.4353156,244.7438061,238.9282103,242.5241089,0.004597212648,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-09,2024,ONGC.NS,244.1666953,244.7438111,230.0938094,237.5519867,-0.02050155844,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-12,2024,ONGC.NS,232.5798888,236.7085203,228.0072908,228.983963,-0.03606799421,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-13,2024,ONGC.NS,229.0727532,232.9794149,226.1427502,230.4045715,0.006203965124,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-14,2024,ONGC.NS,229.0727614,239.4165453,227.2970035,238.7062531,0.0360308889,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-15,2024,ONGC.NS,241.192291,248.4729087,238.8394174,246.2088013,0.03143004476,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-16,2024,ONGC.NS,247.8754084,250.4429041,243.5512254,247.4700317,0.005122605131,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-19,2024,ONGC.NS,247.4700785,251.3888581,245.398052,247.4250183,-0.0001818944598,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-20,2024,ONGC.NS,247.5600971,253.280651,246.8844418,249.1816864,0.007099799781,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-21,2024,ONGC.NS,248.6411629,253.2356247,244.6773238,245.8935089,-0.01319590351,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-22,2024,ONGC.NS,246.7042835,248.6411566,241.8846035,247.4700317,0.006411404816,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-23,2024,ONGC.NS,247.6502078,248.6411745,244.2268983,245.217865,-0.009100765585,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-26,2024,ONGC.NS,244.9475798,244.9475798,241.2539918,243.1007996,-0.008633406174,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-27,2024,ONGC.NS,241.4792077,243.4161083,238.6865209,242.6503601,-0.001852891697,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
