Date,Year,Stock,open,high,low,close,Return,Inflation_%,GDP_Growth_%,NIFTY_Return_%,NIFTY_Volatility_%,USD_INR,Company,NC_Bn,CCG_%,TCV_Bn,AR_Bn,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
2020-06-30,2020,ONGC.NS,60.084145306628045,60.120126032706985,58.033370187553075,58.53706741333008,-0.012742739527834779,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-07-01,2020,ONGC.NS,56.84607119832804,58.249231519293836,56.34237402923453,57.88944625854492,-0.011063436953756223,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-07-02,2020,ONGC.NS,58.53706908909773,60.55186902966039,58.35717643332921,58.896854400634766,0.017402276359503865,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-07-03,2020,ONGC.NS,59.328593033469694,59.976207663363375,58.71695912908208,59.29261779785156,0.006719601602569236,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-07-06,2020,ONGC.NS,59.76033707627151,61.09154151144973,59.58044443665587,60.264034271240234,0.016383430340359606,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-07-07,2020,ONGC.NS,60.264048164336884,60.30002889650998,58.8608874478094,58.96881866455078,-0.02149234817005219,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-07-08,2020,ONGC.NS,59.00478437154718,59.65239895652948,58.28521383043075,58.5010871887207,-0.007931844090192985,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-07-09,2020,ONGC.NS,58.716956459185376,59.184678420056976,57.493688706032884,57.709556579589844,-0.013530186312220693,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-07-10,2020,ONGC.NS,57.56564144314144,57.6735781188248,55.910627055696175,56.52226638793945,-0.020573545561954676,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
2020-07-13,2020,ONGC.NS,56.98999970027283,57.24185384803858,56.41434640939585,56.774131774902344,0.004456038355472369,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,9.45,0.8,14.86,43.8,10.85,,,,,,,,
